text,correct,relevant,irrelevant,,
"Support: Lab safety symbols warn of specific hazards, such as flames or broken glass. Knowing the symbols allows you to recognize and avoid the dangers. \n Question: What should you learn that allows you to recognize and avoid the dangers of specific hazards when experimenting, such as flames or broken glass?",lab safety symbols,available safety symbols,water vapor,,
"Support: Figure 16.19 Neurons contain organelles common to other cells, such as a nucleus and mitochondria. They also have more specialized structures, including dendrites and axons. \n Question: What contain organelles common to other cells, such as a nucleus and mitochondria, and also have more specialized structures, including dendrites and axons?",neurons,follicles,physical,,
"Support: When electrons are removed from an atom, that process requires energy to pull the electron away from the nucleus. Addition of an electron releases energy from the process. \n Question: What is required when electrons are removed from an atom, and released from the process when an electron is added?",energy,nuclear,wetland,,
"Support: The number of protons per atom is always the same for a given element. However, the number of neutrons may vary, and the number of electrons can change. \n Question: The number of neutrons and electrons may vary or change in an atom. what happens to the number of protons?",remains the same,decreases,alleles,,
"Support: Cellulose is composed of very long strands of glucose monomers that are hydrogen bonded to one another. Cellulose is largely indigestible and comprises the cell walls of plants. \n Question: What is composed of very long strands of glucose monomers, is largely indigestible and comprises the cell walls of plants?",cellulose,vascular cambrium,particle accelerators,,
Support: The emission spectrum of hydrogen is discontinuous. The spectrum is made up of discrete lines representing transitions of the hydrogen electron between specific energy levels within the atom. \n Question: The spectrum is made up of discrete lines representing transitions of the hydrogen electron between specific energy levels within what?,the atom,a rainbow,enzymes,,
"Support: The nucleus is a small, dense region at the center of the atom. It consists of positive protons and neutral neutrons, so it has an overall positive charge. \n Question: What is the small, dense region at the center of the atom that consists of positive protons and neutral neutrons?",nucleus,proton,chloroplasts,,
"Support: Aerobic prokaryotes live in habitats with oxygen. Anaerobic prokaryotes live in habitats without oxygen. Prokaryotes may also be adapted to habitats that are hot, moderate, or cold in temperature. \n Question: Anaerobic prokaryotes can live without what compound in their environment (it's a compound that people do need to live)?",oxygen,carbon,relative,,
"Support: Power may be measured in a unit called the horsepower. One horsepower is the amount of work a horse can do in 1 minute, which equals 745 watts of power. \n Question: What unit of measure is equal to the amount of work a horse can do in 1 minute?",horsepower,joule,limb girdles,,
Support: Cytoplasm refers to all of the cellular material inside the plasma membrane. Cytoplasm is made up of a watery substance called cytosol and contains other cell structures such as ribosomes. \n Question: What is made up of a watery substance called cytosol and contains other cell structures such as ribosomes?,cytoplasm,rna,amount of hydroxide ions produced,,
Support: A scientific law is a specific statement that is thought to be never violated by the entire natural universe. Everyday laws are arbitrary limits that society puts on its members. \n Question: What term describes a specific statement that is thought to be never violated by the entire natural universe?,scientific law,evidence,magnitude,,
"Support: Lipids are biochemical compounds such as fats and oils. They consist of fatty acids, which may saturated or unsaturated. Lipids are used to store energy. They also make up cell membranes. \n Question: What are biochemical compounds, such as fats and oils, that consist of fatty acids and store energy?",lipids,proteins,meiosis,,
